analysis_type,model,comparison,split,condition,metric,raw_or_reference,calibrated_or_candidate,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero
selective_risk,C1,risk_80_minus_risk_100,known_test,blur_sigma2,selective_risk_difference,100% policy,80% policy,-0.011089043363124884,-0.011288019373581176,0.006641671505097797,-0.024580847503419614,0.0016099071207430482,True
selective_coverage,C1,C1,known_test,blur_sigma2,actual_coverage_80,validation_target_0.80,test_actual,0.9298245614035088,0.9296811403508771,0.011612443829597061,0.9057017543859649,0.9517543859649122,False
calibration_effect,C0,C0,known_test,screenshot_strong,NLL,raw,calibrated,-0.13654131738947595,-0.13666047850169524,0.026255376769545077,-0.1888828928190787,-0.08645074641595481,False
calibration_effect,C1,C1,known_test,screenshot_strong,NLL,raw,calibrated,-0.554910070823704,-0.5546059603101474,0.07118283222012275,-0.6959999096903854,-0.4198770760278403,False
calibration_effect,C0,C0,known_test,screenshot_strong,BRIER,raw,calibrated,-0.014266432799367235,-0.014327816093151154,0.0038922728420762082,-0.021992303223360928,-0.0069043316444110615,False
calibration_effect,C1,C1,known_test,screenshot_strong,BRIER,raw,calibrated,-0.04038258980758008,-0.04025939294558861,0.0064024177827532,-0.052807896037588745,-0.027910071890833194,False
calibration_effect,C0,C0,known_test,screenshot_strong,ECE15,raw,calibrated,-0.05055368136610838,-0.046455173742046774,0.011713911727232953,-0.06877009812319507,-0.022148379701893612,False
calibration_effect,C1,C1,known_test,screenshot_strong,ECE15,raw,calibrated,-0.0876560049374307,-0.08320140389613848,0.012257696704512308,-0.10578759666571799,-0.05757443744875021,False
selective_risk,C0,risk_80_minus_risk_100,known_test,screenshot_strong,selective_risk_difference,100% policy,80% policy,-0.048393606716176873,-0.04864314634392809,0.013790003298484541,-0.07630166931637511,-0.02276431931580406,False
selective_coverage,C0,C0,known_test,screenshot_strong,actual_coverage_80,validation_target_0.80,test_actual,0.7149122807017544,0.7147342105263157,0.020787504676197437,0.6732456140350878,0.7543859649122807,False
selective_risk,C1,risk_80_minus_risk_100,known_test,screenshot_strong,selective_risk_difference,100% policy,80% policy,-0.07720878773510353,-0.0774741088413216,0.014840312260748067,-0.10717054207159775,-0.04970693779904304,False
selective_coverage,C1,C1,known_test,screenshot_strong,actual_coverage_80,validation_target_0.80,test_actual,0.7302631578947368,0.7301732456140351,0.020108170456223897,0.6907894736842105,0.7697368421052632,False
