comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A3_vs_A0,known_test,screenshot_strong,roc_auc,0.8133271775931055,0.8005347799322868,-0.012792397660818633,-0.012768497999384423,0.015168781639245841,-0.0428401046475837,0.016697926285010777,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A0,known_test,screenshot_strong,average_precision,0.8011524879106092,0.8142644945992907,0.01311200668868151,0.012547983182332141,0.017045194726403975,-0.020107985581928518,0.04631849987938654,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A3_vs_A2,known_test,StrongRobustTest,roc_auc,0.8745383194829179,0.8714171668205601,-0.0031211526623577956,-0.0034878486649738334,0.009064369046327967,-0.02165131338488773,0.013784589969990851,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,known_test,original,balanced_accuracy,0.8837719298245614,0.861842105263158,-0.021929824561403466,-0.021793421052631577,0.013808801688054985,-0.04824561403508776,0.004385964912280718,True,secondary_operating_point,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,known_test,resize_112,balanced_accuracy,0.5942982456140351,0.75,0.1557017543859649,0.15621184210526318,0.01770870184666007,0.12061403508771928,0.1907894736842105,False,secondary_operating_point,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,blur_sigma2,balanced_accuracy,0.506578947368421,0.5,-0.006578947368421018,-0.0065065789473684275,0.004873011576325568,-0.017543859649122806,0.0021929824561403577,True,secondary_operating_point,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,known_test,screenshot_strong,balanced_accuracy,0.736842105263158,0.7960526315789473,0.05921052631578938,0.05956710526315789,0.020159492946929043,0.019736842105263275,0.10087719298245612,False,secondary_operating_point,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,original,roc_auc,0.8589887763123416,0.8503205793082365,-0.00866819700410515,-0.008662912699799113,0.003969038770356382,-0.016453436162546926,-0.000869344484234591,False,primary_absolute,consistent negative difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,original,average_precision,0.8709269699460437,0.8686829851140283,-0.0022439848320153777,-0.002287823473982826,0.003784643951607558,-0.009665672037936448,0.0052739237704838415,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,unseen_test,jpeg_q50,roc_auc,0.8184441599703031,0.8268496429819199,0.00840548301161681,0.008419636403834394,0.00446939279413814,-0.0003801334996506781,0.01716595404074589,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
A2_vs_A0,unseen_test,jpeg_q50,average_precision,0.8369147352907144,0.8484227343068145,0.011507999016100112,0.011441725193252756,0.004346818144154226,0.0030332063381511816,0.019982693174842983,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,resize_112,roc_auc,0.7809954744955891,0.8161650307887152,0.035169556293126014,0.0351940234955018,0.0058182252755824854,0.024056873826316737,0.046928583418857445,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,resize_112,average_precision,0.8090666681777989,0.8418217955422214,0.03275512736442243,0.032660541712930515,0.00555136931924277,0.022300893185868503,0.044166650069061626,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,blur_sigma2,roc_auc,0.6925065780854223,0.723661728098524,0.031155150013101762,0.031195215602891086,0.0066993222345492895,0.017807522081622798,0.04447512473796823,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,blur_sigma2,average_precision,0.718821234661659,0.7538627813919474,0.035041546730288364,0.03496633528519198,0.007434343615534997,0.020519741118807756,0.04946741397736178,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,screenshot_strong,roc_auc,0.7927712027251288,0.81373100270766,0.02095979998253117,0.021023090990479516,0.006326497351981588,0.008294631354266765,0.03344209237706353,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,screenshot_strong,average_precision,0.7953355974300799,0.8258019566384343,0.030466359208354388,0.030385647986143398,0.007585683042751652,0.015659289031031233,0.04557774178152222,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,jpeg_q50,difference_in_delta_auc,-0.04054461634203854,-0.023470936326316583,0.01707368001572196,0.017082549103633507,0.004241479212344235,0.008766680632588036,0.025471793388068847,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,jpeg_q50,difference_in_delta_ap,-0.03401223465532932,-0.02026025080721383,0.01375198384811549,0.013729548667235582,0.004083204023070401,0.005693307539733828,0.021879082766722943,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,resize_112,difference_in_delta_auc,-0.07799330181675246,-0.034155548519521295,0.04383775329723116,0.04385693619530091,0.005961210920245667,0.032428511087212814,0.05557194200912733,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,resize_112,difference_in_delta_ap,-0.06186030176824475,-0.026861189571806943,0.03499911219643781,0.03494836518691334,0.005678513375663265,0.023933958074258695,0.04605357418545561,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,blur_sigma2,difference_in_delta_auc,-0.16648219822691934,-0.12665885120971243,0.03982334701720691,0.03985812830269019,0.007569631334372537,0.025090806920910064,0.05466786468796388,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
