comparison,split,condition,metric,reference_value,candidate_value,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
F2_vs_F0,known_test,jpeg_q50,difference_in_delta_auc,-0.01623576485072331,-0.016235764850723422,-1.1102230246251565e-16,-3.069790704832289e-05,0.0017578285325822451,-0.0034433671899044586,0.003481840566328165,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,jpeg_q50,difference_in_delta_ap,-0.01718327056778235,-0.015701298986146583,0.001481971581635766,0.0013911149406366876,0.0019658451849493786,-0.002342964637333658,0.005305778324201203,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,resize_112,difference_in_delta_auc,-0.04472530009233611,-0.04748576485072331,-0.0027604647583872044,-0.0027512619267466894,0.0025534706888705556,-0.007848568790397081,0.002155230455525076,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,resize_112,difference_in_delta_ap,-0.042375775010910055,-0.04435280810240261,-0.0019770330914925527,-0.0019717093605004215,0.002749354927329135,-0.007466656941363403,0.0033690081527199527,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,blur_sigma2,difference_in_delta_auc,-0.20950677131425066,-0.20532279162819334,0.004183979686057326,0.004309918436441985,0.0058704338394048,-0.007243334487534739,0.0159087411511234,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,blur_sigma2,difference_in_delta_ap,-0.22336878114037995,-0.22307956263193418,0.00028921850844576547,-0.0003546026622867456,0.009727453748504882,-0.019526496266224456,0.018992060546534937,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,screenshot_strong,difference_in_delta_auc,-0.08229455216989845,-0.09245152354570652,-0.010156971375808066,-0.010084829947676207,0.003184777139949165,-0.0166397353031702,-0.003962276854416634,False,primary_rel_robustness,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F0,known_test,screenshot_strong,difference_in_delta_ap,-0.08291669293507264,-0.08799484737770114,-0.005078154442628491,-0.005071495684837166,0.003218548364348723,-0.011386649349634603,0.0013230553128982616,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,StrongRobustTest,roc_auc,0.8745383194829179,0.8751635118498,0.0006251923668820769,0.0006270650584795282,0.0029402507338709195,-0.0052522771429670545,0.006343478281778939,True,primary_strong_robust,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,StrongRobustTest,average_precision,0.8783352189952183,0.8779873116524175,-0.0003479073428007684,-0.0005534785890069787,0.0040864744444634536,-0.008783275282594552,0.0073322078675125395,True,primary_strong_robust,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,original,roc_auc,0.8503205793082365,0.8543697866625906,0.004049207354354101,0.004062576016464321,0.0018229673370743753,0.0005486287011966462,0.007648047864442181,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,original,average_precision,0.8686829851140283,0.8702937816115772,0.0016107964975489164,0.0016117138920173602,0.001606428534555955,-0.0014328369096054422,0.004741832449196656,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,jpeg_q50,roc_auc,0.8268496429819199,0.8303563630011356,0.0035067200192157033,0.0035157315868198096,0.0018951477460383908,-0.0001544894750634628,0.007267351406236271,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,jpeg_q50,average_precision,0.8484227343068145,0.8497199044255878,0.0012971701187732831,0.0012918640644427062,0.0016963039859294534,-0.0019487016480724732,0.004632908401746899,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,resize_112,roc_auc,0.8161650307887152,0.8219972814219583,0.005832250633243108,0.0058691940890034065,0.0019106254338604343,0.0021771654456720357,0.009649467884749746,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,resize_112,average_precision,0.8418217955422214,0.8443889879915524,0.0025671924493310128,0.0025821597829907617,0.0017139040856003285,-0.0007824860338544043,0.00588003981206107,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,blur_sigma2,roc_auc,0.723661728098524,0.7341921237662679,0.01053039566774383,0.010510581027819026,0.003100924691115265,0.00436439590793955,0.016599464199930098,False,primary_absolute,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,blur_sigma2,average_precision,0.7538627813919474,0.7526446190868812,-0.0012181623050662171,-0.001299014509784522,0.004570281554950361,-0.010282146343135892,0.0076268159633378595,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,screenshot_strong,roc_auc,0.81373100270766,0.8104876790549392,-0.003243323652720731,-0.003225037394095554,0.0020027049917831848,-0.007216855729757976,0.0006810604365008709,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,screenshot_strong,average_precision,0.8258019566384343,0.8220878155914972,-0.003714141046937014,-0.0037054454676196833,0.0019184645532363414,-0.007543876434456642,-6.686306114364443e-05,False,primary_absolute,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,jpeg_q50,difference_in_delta_auc,-0.023470936326316583,-0.02401342366145498,-0.0005424873351383974,-0.0005468444296445105,0.0009532479983661878,-0.0024450143025591953,0.0013074456557340517,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,jpeg_q50,difference_in_delta_ap,-0.02026025080721383,-0.020573877185989464,-0.00031362637877563326,-0.0003198498275746542,0.0008522524495652728,-0.0019852966744235284,0.0013672860169108671,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,resize_112,difference_in_delta_auc,-0.034155548519521295,-0.03237250524063229,0.0017830432788890072,0.0018066180725390857,0.0012873999371974332,-0.0008059519390341191,0.0043360262086208105,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,resize_112,difference_in_delta_ap,-0.026861189571806943,-0.025904793620024846,0.0009563959517820964,0.0009704458909734012,0.0011067163554817226,-0.0012499790835747177,0.0031129829927686228,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,blur_sigma2,difference_in_delta_auc,-0.12665885120971243,-0.1201776628963227,0.00648118831338973,0.006448005011354703,0.0030443242704015615,0.0004166405089964715,0.012531252729496005,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,blur_sigma2,difference_in_delta_ap,-0.1148202037220809,-0.11764916252469604,-0.0028289588026151335,-0.0029107284018018817,0.004496567478151552,-0.011677079393110617,0.005913426960852783,True,primary_rel_robustness,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,unseen_test,screenshot_strong,difference_in_delta_auc,-0.03658957660057649,-0.04388210760765132,-0.007292531007074832,-0.007287613410559875,0.0017213219268847754,-0.01064054789173741,-0.0038771808673246652,False,primary_rel_robustness,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,screenshot_strong,difference_in_delta_ap,-0.04288102847559405,-0.04820596602007998,-0.00532493754448593,-0.005317159359637043,0.001615379498895739,-0.008460942974693025,-0.00216853315600139,False,primary_rel_robustness,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,StrongRobustTest,roc_auc,0.8042492452943489,0.810228888712988,0.005979643418639102,0.005989520680026641,0.0018017370893958122,0.0025457625597759574,0.009569476591842162,False,primary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F0,unseen_test,StrongRobustTest,average_precision,0.8281975740887528,0.8292618232788997,0.0010642491901469153,0.001046680807416574,0.0018589103670998675,-0.0026429718501108563,0.00466835872907483,True,primary_strong_robust,not clearly distinguishable from zero under this fixed-sample bootstrap
F1_vs_F0,unseen_test,original,roc_auc,0.8503205793082365,0.6754151563455324,-0.17490542296270406,-0.17466683007249545,0.013384860896234328,-0.20106305340531938,-0.14878399246113205,False,secondary,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,original,average_precision,0.8686829851140283,0.613184597727602,-0.2554983873864263,-0.25349278972636313,0.014597376677962959,-0.2811287548054838,-0.22412518067247417,False,secondary,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,resize_112,roc_auc,0.8161650307887152,0.6789034522665734,-0.13726157852214171,-0.13724670659009522,0.013710248421732843,-0.16410390304284211,-0.11110788878941408,False,secondary,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,resize_112,average_precision,0.8418217955422214,0.6480053463748121,-0.19381644916740925,-0.19212318709268805,0.01576928772833918,-0.2218391418697999,-0.16106468413824815,False,secondary,consistent negative difference under the current fixed-sample bootstrap
