regime,split,condition,generator,recall,sample_count,threshold
F2,known_test,jpeg_q50,ADM,0.8070175438596491,57,0.1032474935054779
F2,known_test,jpeg_q50,BigGAN,0.8947368421052632,57,0.1032474935054779
F2,known_test,jpeg_q50,GLIDE,0.9122807017543859,57,0.1032474935054779
F2,known_test,jpeg_q50,SD15,0.7894736842105263,57,0.1032474935054779
F2,known_test,resize_112,ADM,0.8771929824561403,57,0.1032474935054779
F2,known_test,resize_112,BigGAN,0.8947368421052632,57,0.1032474935054779
F2,known_test,resize_112,GLIDE,0.9298245614035088,57,0.1032474935054779
F2,known_test,resize_112,SD15,0.9122807017543859,57,0.1032474935054779
F2,known_test,blur_sigma2,ADM,1.0,57,0.1032474935054779
F2,known_test,blur_sigma2,BigGAN,1.0,57,0.1032474935054779
F2,known_test,blur_sigma2,GLIDE,1.0,57,0.1032474935054779
F2,known_test,blur_sigma2,SD15,0.9824561403508771,57,0.1032474935054779
F2,known_test,screenshot_strong,ADM,0.6666666666666666,57,0.1032474935054779
F2,known_test,screenshot_strong,BigGAN,0.631578947368421,57,0.1032474935054779
F2,known_test,screenshot_strong,GLIDE,0.8070175438596491,57,0.1032474935054779
F2,known_test,screenshot_strong,SD15,0.7894736842105263,57,0.1032474935054779
F2,unseen_test,original,Midjourney,0.7937062937062938,286,0.1032474935054779
F2,unseen_test,original,VQDM,0.3298245614035088,285,0.1032474935054779
F2,unseen_test,original,Wukong,0.8245614035087719,285,0.1032474935054779
F2,unseen_test,jpeg_q50,Midjourney,0.7517482517482518,286,0.1032474935054779
F2,unseen_test,jpeg_q50,VQDM,0.39649122807017545,285,0.1032474935054779
F2,unseen_test,jpeg_q50,Wukong,0.8210526315789474,285,0.1032474935054779
F2,unseen_test,resize_112,Midjourney,0.9195804195804196,286,0.1032474935054779
F2,unseen_test,resize_112,VQDM,0.6421052631578947,285,0.1032474935054779
F2,unseen_test,resize_112,Wukong,0.9403508771929825,285,0.1032474935054779
F2,unseen_test,blur_sigma2,Midjourney,0.9965034965034965,286,0.1032474935054779
F2,unseen_test,blur_sigma2,VQDM,0.9964912280701754,285,0.1032474935054779
F2,unseen_test,blur_sigma2,Wukong,1.0,285,0.1032474935054779
F2,unseen_test,screenshot_strong,Midjourney,0.6923076923076923,286,0.1032474935054779
F2,unseen_test,screenshot_strong,VQDM,0.3508771929824561,285,0.1032474935054779
F2,unseen_test,screenshot_strong,Wukong,0.856140350877193,285,0.1032474935054779
