model,split,condition,severity,num_samples,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,threshold,delta_auc,delta_ap,delta_balanced_accuracy,delta_recall,delta_f1
Handcrafted LogReg,unseen_test,jpeg_q75,mild,1712,0.6444189994759367,0.6136792312513416,0.5829439252336449,0.5829439252336448,0.6095679012345679,0.4614485981308411,0.7044392523364486,0.5252659574468085,0.2955607476635514,0.5671516607338236,-0.0007765416193554753,-0.00042696485248006066,0.0029205607476634476,0.03621495327102803,0.02215607493125904
Handcrafted LogReg,unseen_test,jpeg_q50,strong,1712,0.6416649379858502,0.6107910734708937,0.584696261682243,0.584696261682243,0.6022566995768688,0.49883177570093457,0.6705607476635514,0.5456869009584665,0.3294392523364486,0.5671516607338236,-0.0035306031094419765,-0.0033151226329279915,0.004672897196261627,0.07359813084112149,0.04257701844291706
Handcrafted LogReg,unseen_test,crop_90,mild,1712,0.6515552668355314,0.6165760679070624,0.5969626168224299,0.5969626168224299,0.6045340050377834,0.5607476635514018,0.633177570093458,0.5818181818181818,0.36682242990654207,0.5671516607338236,0.0063597257402392415,0.002469871803240764,0.01693925233644855,0.13551401869158874,0.07870829930263235
Handcrafted LogReg,unseen_test,crop_75,strong,1712,0.6536133068390252,0.6133495430667228,0.6185747663551402,0.6185747663551402,0.5976900866217517,0.7254672897196262,0.5116822429906542,0.6554089709762533,0.4883177570093458,0.5671516607338236,0.008417765743732986,-0.00075665303709882,0.03855140186915884,0.3002336448598131,0.15229908846070384
Handcrafted LogReg,unseen_test,resize_160,mild,1712,0.6312792056074766,0.6055771236016978,0.6033878504672897,0.6033878504672897,0.5789473684210527,0.758177570093458,0.4485981308411215,0.6565503287809813,0.5514018691588785,0.5671516607338236,-0.013916335487815568,-0.008529072502123869,0.02336448598130836,0.3329439252336449,0.15344044626543185
Handcrafted LogReg,unseen_test,resize_112,strong,1712,0.6009135623198533,0.5852219516112724,0.554322429906542,0.554322429906542,0.531062124248497,0.9287383177570093,0.17990654205607476,0.6757331066723332,0.8200934579439252,0.5671516607338236,-0.044281978775438935,-0.028884244492549227,-0.02570093457943934,0.5035046728971962,0.17262322415678377
Handcrafted LogReg,unseen_test,blur_sigma1,mild,1712,0.5883114791684863,0.5740425131733125,0.5367990654205608,0.5367990654205608,0.5202312138728323,0.9462616822429907,0.12733644859813084,0.6713634479900539,0.8726635514018691,0.5671516607338236,-0.05688406192680595,-0.040063682930509215,-0.04322429906542058,0.5210280373831776,0.16825356547450443
Handcrafted LogReg,unseen_test,blur_sigma2,strong,1712,0.546817680583457,0.5425995349859805,0.5035046728971962,0.5035046728971962,0.5018564356435643,0.947429906542056,0.05957943925233645,0.6561488673139159,0.9404205607476636,0.5671516607338236,-0.09837786051183517,-0.07150666111784121,-0.0765186915887851,0.522196261682243,0.15303898479836642
SmallCNNV1,known_test,original,reference,456,0.8664012003693444,0.8673358064465055,0.7872807017543859,0.7872807017543859,0.8075117370892019,0.7543859649122807,0.8201754385964912,0.780045351473923,0.17982456140350878,0.5406003902614535,0.0,0.0,0.0,0.0,0.0
SmallCNNV1,known_test,jpeg_q75,mild,456,0.8478185595567866,0.8487237383545131,0.7807017543859649,0.7807017543859649,0.7666666666666667,0.8070175438596491,0.7543859649122807,0.7863247863247863,0.24561403508771928,0.5406003902614535,-0.018582640812557782,-0.01861206809199245,-0.006578947368421018,0.05263157894736836,0.006279434850863352
SmallCNNV1,known_test,jpeg_q50,strong,456,0.8349876885195445,0.8368917487546722,0.7719298245614035,0.7719298245614035,0.7440944881889764,0.8289473684210527,0.7149122807017544,0.7842323651452282,0.2850877192982456,0.5406003902614535,-0.0314135118497999,-0.030444057691833337,-0.015350877192982448,0.07456140350877194,0.004187013671305251
SmallCNNV1,known_test,crop_90,mild,456,0.8445867959372114,0.8502809276270047,0.7697368421052632,0.7697368421052632,0.7709251101321586,0.7675438596491229,0.7719298245614035,0.7692307692307693,0.22807017543859648,0.5406003902614535,-0.021814404432133006,-0.01705487881950085,-0.01754385964912275,0.013157894736842146,-0.010814582243153681
SmallCNNV1,known_test,crop_75,strong,456,0.8225607879347492,0.821861118066735,0.7258771929824561,0.7258771929824561,0.6928838951310862,0.8114035087719298,0.6403508771929824,0.7474747474747475,0.35964912280701755,0.5406003902614535,-0.043840412434595244,-0.045474688379770534,-0.06140350877192979,0.05701754385964908,-0.03257060399917544
SmallCNNV1,known_test,resize_160,mild,456,0.8232725453985843,0.8202157640486756,0.7105263157894737,0.7105263157894737,0.6610738255033557,0.8640350877192983,0.5570175438596491,0.7490494296577946,0.44298245614035087,0.5406003902614535,-0.04312865497076013,-0.047120042397829964,-0.07675438596491224,0.10964912280701755,-0.030995921816128313
SmallCNNV1,known_test,resize_112,strong,456,0.6554132040627886,0.645721298454826,0.5131578947368421,0.5131578947368421,0.5066964285714286,0.9956140350877193,0.03070175438596491,0.6715976331360947,0.9692982456140351,0.5406003902614535,-0.21098799630655585,-0.2216145079916796,-0.27412280701754377,0.24122807017543857,-0.10844771833782829
SmallCNNV1,known_test,blur_sigma1,mild,456,0.6006655894121269,0.5997095502599863,0.5043859649122807,0.5043859649122807,0.5022222222222222,0.9912280701754386,0.017543859649122806,0.6666666666666666,0.9824561403508771,0.5406003902614535,-0.26573561095721754,-0.26762625618651925,-0.2828947368421052,0.23684210526315785,-0.11337868480725632
SmallCNNV1,known_test,blur_sigma2,strong,456,0.5661164973838104,0.5530237872436545,0.506578947368421,0.506578947368421,0.5033407572383074,0.9912280701754386,0.021929824561403508,0.6676514032496307,0.9780701754385965,0.5406003902614535,-0.300284702985534,-0.314312019202851,-0.2807017543859649,0.23684210526315785,-0.11239394822429227
SmallCNNV1,unseen_test,original,reference,1712,0.7215081557341254,0.6558252220465397,0.5887850467289719,0.5887850467289719,0.6853658536585366,0.3282710280373832,0.8492990654205608,0.4439178515007899,0.15070093457943926,0.5406003902614535,0.0,0.0,0.0,0.0,0.0
SmallCNNV1,unseen_test,jpeg_q75,mild,1712,0.7053045025766442,0.64355280909914,0.6209112149532711,0.6209112149532711,0.680628272251309,0.45560747663551404,0.7862149532710281,0.5458362491252624,0.21378504672897197,0.5406003902614535,-0.01620365315748118,-0.012272412947399669,0.032126168224299145,0.12733644859813087,0.10191839762447252
SmallCNNV1,unseen_test,jpeg_q50,strong,1712,0.7003641147698488,0.6439212502493907,0.6238317757009346,0.6238317757009346,0.6693290734824281,0.4894859813084112,0.758177570093458,0.5654520917678812,0.24182242990654207,0.5406003902614535,-0.021144040964276578,-0.011903971797148971,0.035046728971962704,0.16121495327102803,0.12153424026709136
SmallCNNV1,unseen_test,crop_90,mild,1712,0.7203972508516028,0.6574862413005838,0.6214953271028038,0.6214953271028038,0.7,0.4252336448598131,0.8177570093457944,0.5290697674418605,0.1822429906542056,0.5406003902614535,-0.0011109048825226342,0.0016610192540440494,0.032710280373831835,0.0969626168224299,0.08515191594107063
SmallCNNV1,unseen_test,crop_75,strong,1712,0.7144578674993448,0.6565529418726694,0.6717289719626168,0.6717289719626168,0.6851385390428212,0.6355140186915887,0.7079439252336449,0.6593939393939394,0.29205607476635514,0.5406003902614535,-0.0070502882347805995,0.0007277198261297357,0.08294392523364491,0.30724299065420557,0.21547608789314954
SmallCNNV1,unseen_test,resize_160,mild,1712,0.6977192331207966,0.6594306849150359,0.6699766355140186,0.6699766355140186,0.6629339305711086,0.6915887850467289,0.6483644859813084,0.6769582618639223,0.3516355140186916,0.5406003902614535,-0.023788922613328767,0.0036054628684961676,0.08119158878504673,0.36331775700934577,0.2330404103631324
SmallCNNV1,unseen_test,resize_112,strong,1712,0.5478712660494366,0.5782307672996612,0.4894859813084112,0.48948598130841126,0.4945717732207479,0.9579439252336449,0.02102803738317757,0.6523468575974543,0.9789719626168224,0.5406003902614535,-0.17363688968468882,-0.07759445474687854,-0.09929906542056066,0.6296728971962617,0.20842900609666437
SmallCNNV1,unseen_test,blur_sigma1,mild,1712,0.4852354736221504,0.5240383830707587,0.4935747663551402,0.4935747663551402,0.49673202614379086,0.9766355140186916,0.010514018691588784,0.6585269791256401,0.9894859813084113,0.5406003902614535,-0.236272682111975,-0.13178683897578103,-0.09521028037383172,0.6483644859813085,0.21460912762485018
SmallCNNV1,unseen_test,blur_sigma2,strong,1712,0.4594956437243427,0.48955841866608796,0.4947429906542056,0.4947429906542056,0.49732302201070794,0.9766355140186916,0.012850467289719626,0.6590461174615688,0.9871495327102804,0.5406003902614535,-0.2620125120097827,-0.16626680338045174,-0.09404205607476629,0.6483644859813085,0.21512826596077894
MobileNetV3-Small,known_test,original,reference,456,0.9519275161588181,0.9573603801739043,0.8837719298245614,0.8837719298245614,0.8995433789954338,0.8640350877192983,0.9035087719298246,0.8814317673378076,0.09649122807017543,0.7300598621368408,0.0,0.0,0.0,0.0,0.0
MobileNetV3-Small,known_test,jpeg_q75,mild,456,0.929324407510003,0.9291755200614578,0.8421052631578947,0.8421052631578947,0.8170731707317073,0.881578947368421,0.8026315789473685,0.8481012658227848,0.19736842105263158,0.7300598621368408,-0.022603108648815096,-0.028184860112446586,-0.04166666666666674,0.01754385964912275,-0.033330501515022815
MobileNetV3-Small,known_test,jpeg_q50,strong,456,0.9072406894429056,0.9136414650084961,0.7982456140350878,0.7982456140350878,0.7411347517730497,0.9166666666666666,0.6798245614035088,0.8196078431372549,0.3201754385964912,0.7300598621368408,-0.04468682671591251,-0.04371891516540827,-0.08552631578947367,0.05263157894736836,-0.061823924200552716
MobileNetV3-Small,known_test,crop_90,mild,456,0.9445791012619268,0.95058973472692,0.8640350877192983,0.8640350877192983,0.8705357142857143,0.8552631578947368,0.8728070175438597,0.8628318584070797,0.12719298245614036,0.7300598621368408,-0.007348414896891309,-0.006770645446984358,-0.019736842105263164,-0.00877192982456143,-0.018599908930727937
