model,split,condition,original_auc,transformed_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,original_ap,transformed_ap,delta_ap,delta_ap_ci_low,delta_ap_ci_high
EfficientNet-B0,known_test,jpeg_q50,0.9587757771622037,0.9280355493998154,-0.030740227762388384,-0.04532211834410594,-0.01775498230224681,0.9637023807642139,0.9308456872288261,-0.03285669353538778,-0.048916499195730684,-0.019115678371195842
EfficientNet-B0,known_test,crop_75,0.9587757771622037,0.952100646352724,-0.00667513080947979,-0.01714037011388126,0.003386138042474353,0.9637023807642139,0.9558340614950661,-0.007868319269147772,-0.01680673941576074,0.00038646950263295063
EfficientNet-B0,known_test,resize_112,0.9587757771622037,0.8756251923668822,-0.08315058479532156,-0.1107864919975377,-0.05844057787011391,0.9637023807642139,0.8796987478862952,-0.08400363287791868,-0.11401893657379873,-0.05762265630794363
EfficientNet-B0,known_test,blur_sigma2,0.9587757771622037,0.6033298707294552,-0.35544590643274854,-0.406876635118498,-0.3040632694675285,0.9637023807642139,0.5888296622061044,-0.37487271855810944,-0.4233975369600176,-0.31832201226887086
EfficientNet-B0,known_test,screenshot_strong,0.9587757771622037,0.9186480455524777,-0.04012773160972605,-0.059732802400738715,-0.022775757925515557,0.9637023807642139,0.9231342439690075,-0.04056813679520643,-0.058721103748043735,-0.02379812594978067
LogReg,unseen_test,jpeg_q50,0.6451955410952922,0.6416649379858502,-0.0035306031094419765,-0.007678208795527994,0.0004532328150929612,0.6141061961038217,0.6107910734708937,-0.0033151226329279915,-0.008503354873402442,0.0017605450196863128
LogReg,unseen_test,crop_75,0.6451955410952922,0.6536133068390252,0.008417765743732986,-0.0031157538322123144,0.02018059710455069,0.6141061961038217,0.6133495430667228,-0.00075665303709882,-0.014069405146209546,0.012752077416420234
LogReg,unseen_test,resize_112,0.6451955410952922,0.6009135623198533,-0.044281978775438935,-0.06746539681413218,-0.021290649019564935,0.6141061961038217,0.5852219516112724,-0.028884244492549227,-0.0484151326906139,-0.010401563330983585
LogReg,unseen_test,blur_sigma2,0.6451955410952922,0.546817680583457,-0.09837786051183517,-0.12763276951043753,-0.07026681506026726,0.6141061961038217,0.5425995349859805,-0.07150666111784121,-0.09623455232253915,-0.04891261764874199
LogReg,unseen_test,screenshot_strong,0.6451955410952922,0.64299829679448,-0.002197244300812251,-0.01060006605380373,0.00619066758013804,0.6141061961038217,0.6058980777867057,-0.008208118317115987,-0.020671564659336877,0.0031793941421849456
SmallCNNV1,unseen_test,jpeg_q50,0.7215081557341254,0.7003641147698488,-0.021144040964276578,-0.02995086224779457,-0.012439166357323698,0.6558252220465397,0.6439212502493907,-0.011903971797148971,-0.022059789552223152,-0.001822528302945861
SmallCNNV1,unseen_test,crop_75,0.7215081557341254,0.7144578674993448,-0.0070502882347805995,-0.02099582933007259,0.00724633428683742,0.6558252220465397,0.6565529418726694,0.0007277198261297357,-0.01608359064039062,0.01862832830806674
SmallCNNV1,unseen_test,resize_112,0.7215081557341254,0.5478712660494366,-0.17363688968468882,-0.20493878422788026,-0.14117195688488082,0.6558252220465397,0.5782307672996612,-0.07759445474687854,-0.11041136975109482,-0.045302807232170755
SmallCNNV1,unseen_test,blur_sigma2,0.7215081557341254,0.4594956437243427,-0.2620125120097827,-0.297788118776749,-0.2245601758341339,0.6558252220465397,0.48955841866608796,-0.16626680338045174,-0.201747383785948,-0.1303414131189106
