comparison,scope,feature,group_a,n_a,mean_a,median_a,group_b,n_b,mean_b,median_b,cohens_d_a_minus_b,spearman_p_ai_vs_feature,spearman_pvalue
AI_correct_vs_falseREAL,HunyuanImage-3.0,entropy,CORRECT_CONFIDENT_AI,16,7.127664761395067,7.313438113177752,FALSE_REAL_AI,56,7.612131396464844,7.6728329025551325,-1.4244171760282565,-0.2916531653165315,0.0032383800037743
AI_correct_vs_falseREAL,HunyuanImage-3.0,high_frequency_ratio,CORRECT_CONFIDENT_AI,16,0.1044978069666787,0.0801857029008415,FALSE_REAL_AI,56,0.168432645562043,0.1660235071934916,-1.046393690387101,-0.5416621662166217,5.904144358849621e-09
AI_correct_vs_falseREAL,HunyuanImage-3.0,width,CORRECT_CONFIDENT_AI,16,1024.0,1024.0,FALSE_REAL_AI,56,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,HunyuanImage-3.0,height,CORRECT_CONFIDENT_AI,16,1024.0,1024.0,FALSE_REAL_AI,56,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,HunyuanImage-3.0,aspect_ratio,CORRECT_CONFIDENT_AI,16,1.0,1.0,FALSE_REAL_AI,56,1.0,1.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0,mean_brightness,CORRECT_CONFIDENT_AI,15,0.5598489906743948,0.5887846422162615,FALSE_REAL_AI,45,0.4216233905141917,0.3422511073960834,0.6605920223143024,0.2965976597659766,0.002731713515567
AI_correct_vs_falseREAL,Imagen-4.0,std_brightness,CORRECT_CONFIDENT_AI,15,0.2197635883245839,0.2308305519261215,FALSE_REAL_AI,45,0.2273862928892759,0.2219940088638302,-0.155539563956096,0.0489888988898889,0.6283712127697808
AI_correct_vs_falseREAL,Imagen-4.0,mean_saturation,CORRECT_CONFIDENT_AI,15,0.2715684242446979,0.2619128119997999,FALSE_REAL_AI,45,0.356230217781557,0.3365394595338135,-0.4409970347567885,-0.1346054605460546,0.1818054301945878
AI_correct_vs_falseREAL,Imagen-4.0,edge_density,CORRECT_CONFIDENT_AI,15,0.1140545280612244,0.0832868303571428,FALSE_REAL_AI,45,0.152055431547619,0.1421595982142857,-0.5492058822317522,-0.3545634563456345,0.000295301114107
AI_correct_vs_falseREAL,Imagen-4.0,sharpness,CORRECT_CONFIDENT_AI,15,1758.138354767102,1114.128547854346,FALSE_REAL_AI,45,3060.324696793584,2484.5924705777848,-0.7056934934955039,-0.3931713171317131,5.198853450329231e-05
AI_correct_vs_falseREAL,Imagen-4.0,entropy,CORRECT_CONFIDENT_AI,15,7.143894605162765,7.446273258627398,FALSE_REAL_AI,45,6.826897085348956,7.331305419274014,0.2359920810140817,0.0762436243624362,0.4508798984546395
AI_correct_vs_falseREAL,Imagen-4.0,high_frequency_ratio,CORRECT_CONFIDENT_AI,15,0.1230421916644346,0.0999020873495643,FALSE_REAL_AI,45,0.1761868377365951,0.1517689332406131,-0.5288825517138221,-0.322100210021002,0.0010828654052585
AI_correct_vs_falseREAL,Imagen-4.0,width,CORRECT_CONFIDENT_AI,15,1024.0,1024.0,FALSE_REAL_AI,45,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0,height,CORRECT_CONFIDENT_AI,15,1024.0,1024.0,FALSE_REAL_AI,45,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0,aspect_ratio,CORRECT_CONFIDENT_AI,15,1.0,1.0,FALSE_REAL_AI,45,1.0,1.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,mean_brightness,CORRECT_CONFIDENT_AI,24,0.5036849021802731,0.5033107930672268,FALSE_REAL_AI,47,0.4382171376196756,0.3900777006896508,0.3067451176862287,0.1689648964896489,0.0928578024826779
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,std_brightness,CORRECT_CONFIDENT_AI,24,0.2271578668200001,0.2306034972758584,FALSE_REAL_AI,47,0.2195439116384469,0.2241530773013851,0.1547007278065398,0.1161956195619561,0.2496285836223749
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,mean_saturation,CORRECT_CONFIDENT_AI,24,0.3464248752886571,0.4008179052871148,FALSE_REAL_AI,47,0.3659535157147965,0.3927563994347738,-0.1018926022877223,-0.0718631863186318,0.4773840406615626
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,edge_density,CORRECT_CONFIDENT_AI,24,0.0858420028167517,0.0769292091836734,FALSE_REAL_AI,47,0.1651446482848458,0.1772361288265306,-1.2906807814760686,-0.4466166812363447,3.198167737053958e-06
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,sharpness,CORRECT_CONFIDENT_AI,24,1298.2565275704912,1241.472910331319,FALSE_REAL_AI,47,3130.9139838925826,2491.472492492482,-1.141505998936831,-0.4873927392739274,2.70810766643483e-07
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,entropy,CORRECT_CONFIDENT_AI,24,6.94947248945171,7.314744142960982,FALSE_REAL_AI,47,7.020348245144302,7.310326757075829,-0.0779951202403853,0.0644704470447044,0.5239539387035201
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,high_frequency_ratio,CORRECT_CONFIDENT_AI,24,0.0980887672850265,0.0847427759483269,FALSE_REAL_AI,47,0.1872725982740474,0.1564793564445389,-0.9907986986267318,-0.4057365736573657,2.8147200916320056e-05
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,width,CORRECT_CONFIDENT_AI,24,1024.0,1024.0,FALSE_REAL_AI,47,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,height,CORRECT_CONFIDENT_AI,24,1024.0,1024.0,FALSE_REAL_AI,47,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Imagen-4.0-Ultra,aspect_ratio,CORRECT_CONFIDENT_AI,24,1.0,1.0,FALSE_REAL_AI,47,1.0,1.0,0.0,,
AI_correct_vs_falseREAL,Midjourney,mean_brightness,CORRECT_CONFIDENT_AI,186,0.4850957133764964,0.4754526568830657,FALSE_REAL_AI,42,0.4857751332582885,0.499930689971301,-0.0033383656181875,0.1268828732243366,0.0319477568312742
AI_correct_vs_falseREAL,Midjourney,std_brightness,CORRECT_CONFIDENT_AI,186,0.2275110607197539,0.2244692871307861,FALSE_REAL_AI,42,0.1958637718529101,0.1836715751427294,0.5036723718241078,0.2091420774347603,0.0003696102220623
AI_correct_vs_falseREAL,Midjourney,mean_saturation,CORRECT_CONFIDENT_AI,186,0.2952812345536332,0.2865094084508803,FALSE_REAL_AI,42,0.3390182263381543,0.3403288659213686,-0.2544517131539589,-0.1623318914718144,0.0059317205428446
AI_correct_vs_falseREAL,Midjourney,edge_density,CORRECT_CONFIDENT_AI,186,0.0779674899193548,0.0687081473214285,FALSE_REAL_AI,42,0.1114533983236151,0.1040437659438775,-0.7267172234638197,-0.1956852881061625,0.0008776472172169
AI_correct_vs_falseREAL,Midjourney,sharpness,CORRECT_CONFIDENT_AI,186,903.3212469750824,631.4862742008938,FALSE_REAL_AI,42,1553.7681908104553,1192.9913370731422,-0.4904738659350418,-0.2809778155092661,1.3751062806948951e-06
AI_correct_vs_falseREAL,Midjourney,entropy,CORRECT_CONFIDENT_AI,186,6.533974716306707,7.124153580823275,FALSE_REAL_AI,42,6.954869106527785,7.206500412020064,-0.3352208943752321,-0.0345746679507911,0.560348381064204
AI_correct_vs_falseREAL,Midjourney,high_frequency_ratio,CORRECT_CONFIDENT_AI,186,0.0644098468292879,0.0538442071130715,FALSE_REAL_AI,42,0.1413827584164805,0.1218904419138986,-1.2173307131498206,-0.4359971222615638,1.0639538570549084e-14
AI_correct_vs_falseREAL,Midjourney,width,CORRECT_CONFIDENT_AI,186,1024.0,1024.0,FALSE_REAL_AI,42,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Midjourney,height,CORRECT_CONFIDENT_AI,186,1024.0,1024.0,FALSE_REAL_AI,42,1024.0,1024.0,0.0,,
AI_correct_vs_falseREAL,Midjourney,aspect_ratio,CORRECT_CONFIDENT_AI,186,1.0,1.0,FALSE_REAL_AI,42,1.0,1.0,0.0,,
AI_correct_vs_falseREAL,Nano Banana 2,mean_brightness,CORRECT_CONFIDENT_AI,62,0.4807825885432297,0.5035162896017782,FALSE_REAL_AI,491,0.5772079306795911,0.6058212037940176,-0.7052327690360106,-0.3091202195983403,1.5367148815353914e-17
AI_correct_vs_falseREAL,Nano Banana 2,std_brightness,CORRECT_CONFIDENT_AI,62,0.2266755100256766,0.2213969949667376,FALSE_REAL_AI,491,0.2221717163094072,0.2128736095741673,0.0663392175666326,0.0989915434430786,0.0076025565868336
AI_correct_vs_falseREAL,Nano Banana 2,mean_saturation,CORRECT_CONFIDENT_AI,62,0.3417064129079051,0.3507130195828331,FALSE_REAL_AI,491,0.1959944901140191,0.1644105298369348,1.1304023486084769,0.368962630092282,7.850854389999492e-25
