fold,condition,real_domain,n,dist_to_ai,CLEAN_dist_to_ai,frac_nn_ai,CLEAN_frac_nn_ai,k5_ai_frac,CLEAN_k5_ai_frac,euc_drift_mean,delta_z_mean
3,jpeg_q50,Smartphone,500,0.6978225799522025,0.7845495787999445,0.0,0.0,0.0044,0.0028,0.3718926405366336,-1.533215793570116
3,resize_112,Tiny,250,0.1854676269372215,0.3388509809584767,0.0,0.0,0.3704,0.1336,0.7090574953488791,3.636119250524545
3,resize_112,MLLM,113,0.4109900693432893,0.7156279299960823,0.0,0.0,0.0035398230088495575,0.0,1.0695778810589753,5.997112901483926
3,resize_112,COCO,60,0.27209690638290757,0.7214554152042246,0.0,0.0,0.03,0.023333333333333334,1.045943530015525,8.088840949359621
3,resize_112,Smartphone,500,0.40316180922044204,0.7845495787999445,0.0,0.0,0.0044,0.0028,1.0430635864636653,7.154622328005211
3,blur_sigma2,Tiny,250,0.2545856745731608,0.3388509809584767,0.0,0.0,0.2904,0.1336,0.7435559512483656,3.994648335553898
3,blur_sigma2,MLLM,113,0.4833908945696562,0.7156279299960823,0.0,0.0,0.0035398230088495575,0.0,0.9282072005260875,5.381035826918571
3,blur_sigma2,COCO,60,0.3233220793608182,0.7214554152042246,0.0,0.0,0.02666666666666667,0.023333333333333334,1.0793391586980212,8.088521617428176
3,blur_sigma2,Smartphone,500,0.7802330188931387,0.7845495787999445,0.0,0.0,0.002,0.0028,0.24875071665376416,1.2463598784384313
3,screenshot_strong,Tiny,250,0.24452082685540388,0.3388509809584767,0.0,0.0,0.2704,0.1336,0.7055953367816064,0.5825361982301407
3,screenshot_strong,MLLM,113,0.5157311692687536,0.7156279299960823,0.0,0.0,0.0,0.0,0.7100329840372891,2.232754782957655
3,screenshot_strong,COCO,60,0.5207906995963815,0.7214554152042246,0.0,0.0,0.02,0.023333333333333334,0.6500483120711851,2.1914506730738434
3,screenshot_strong,Smartphone,500,0.5880175272602047,0.7845495787999445,0.0,0.0,0.0024,0.0028,0.6881658398104987,3.608302044017226
4,jpeg_q50,Tiny,250,0.5372214836812134,0.490974884902379,0.0,0.0,0.0248,0.052,0.6580805994955705,-1.3570662371640128
4,jpeg_q50,MLLM,113,0.5824746509237194,0.6198697480420583,0.0,0.0,0.0,0.005309734513274336,0.5225376706459148,-0.06039743177059134
4,jpeg_q50,COCO,60,0.5601261119303553,0.5859996958654782,0.0,0.0,0.013333333333333334,0.03,0.5953091107960483,-1.1459094783750479
4,jpeg_q50,Smartphone,500,0.43666413832063006,0.501636041044269,0.0,0.0,0.0108,0.008,0.3887555489925153,-1.8133424258450672
4,resize_112,Tiny,250,0.2305241836951457,0.490974884902379,0.0,0.0,0.1528,0.052,1.0565049419091466,8.467993099485138
4,resize_112,MLLM,113,0.27943106913421245,0.6198697480420583,0.0,0.0,0.021238938053097345,0.005309734513274336,1.0884749061347647,8.271059768629284
4,resize_112,COCO,60,0.2428233900982308,0.5859996958654782,0.0,0.0,0.12,0.03,1.1146819661913516,8.787248778548808
4,resize_112,Smartphone,500,0.2976338416104991,0.501636041044269,0.0,0.0,0.0088,0.008,0.9749500123869516,9.326946364981207
4,blur_sigma2,Tiny,250,0.36565427212730855,0.490974884902379,0.0,0.0,0.0144,0.052,1.06848132288088,8.87924095848097
4,blur_sigma2,MLLM,113,0.4718171992162007,0.6198697480420583,0.0,0.0,0.0035398230088495575,0.005309734513274336,1.0186060523214686,7.202611826063131
4,blur_sigma2,COCO,60,0.35530513721703777,0.5859996958654782,0.0,0.0,0.023333333333333334,0.03,1.2142586358323513,9.102305379621177
4,blur_sigma2,Smartphone,500,0.5135863512851657,0.501636041044269,0.0,0.0,0.0076,0.008,0.29150030899158774,2.218862252411366
4,screenshot_strong,Tiny,250,0.37059456107238764,0.490974884902379,0.0,0.0,0.0736,0.052,0.6694325098016412,2.3492095959517783
4,screenshot_strong,MLLM,113,0.44679336311342993,0.6198697480420583,0.0,0.0,0.0017699115044247787,0.005309734513274336,0.7250051394839757,2.1799756139543325
4,screenshot_strong,COCO,60,0.4299299451662375,0.5859996958654782,0.0,0.0,0.04,0.03,0.6892361578508941,1.2967643710333756
4,screenshot_strong,Smartphone,500,0.45592657850938095,0.501636041044269,0.0,0.0,0.008,0.008,0.6289572094956669,3.4165948616074284
