fold,cond_a,cond_b,cosine,angle_deg,norm_s_a,norm_s_b,cos_s_w_h2,cos_s_w_h3,kind
4,jpeg_q50,jpeg_q50,1.0,0.0,0.36655603307705625,0.36655603307705625,0.47207271385305904,0.40064669846656814,self
4,resize_112,resize_112,1.0,0.0,0.18896028815511787,0.18896028815511787,0.3521885711591894,0.4038016943855924,self
4,blur_sigma2,blur_sigma2,1.0,0.0,0.3408347740286868,0.3408347740286868,0.555070410914853,0.3057339709743616,self
4,screenshot_strong,screenshot_strong,1.0,0.0,0.30394288299051636,0.30394288299051636,0.2455072653453648,0.30846335901224387,self
4,CLEAN,jpeg_q50,0.6550051974796678,49.07995594353022,0.44998171563190364,0.36655603307705625,,,pair
4,jpeg_q50,CLEAN,0.6550051974796678,49.07995594353022,0.36655603307705625,0.44998171563190364,,,pair
4,CLEAN,resize_112,0.5584617635132593,56.05051494447631,0.44998171563190364,0.18896028815511787,,,pair
4,resize_112,CLEAN,0.5584617635132593,56.05051494447631,0.18896028815511787,0.44998171563190364,,,pair
4,CLEAN,blur_sigma2,0.6889936061347204,46.44950322079359,0.44998171563190364,0.3408347740286868,,,pair
4,blur_sigma2,CLEAN,0.6889936061347204,46.44950322079359,0.3408347740286868,0.44998171563190364,,,pair
4,CLEAN,screenshot_strong,0.48596796638473216,60.92408958644769,0.44998171563190364,0.30394288299051636,,,pair
4,screenshot_strong,CLEAN,0.48596796638473216,60.92408958644769,0.30394288299051636,0.44998171563190364,,,pair
4,jpeg_q50,resize_112,0.3249907099796638,71.03498784309579,0.36655603307705625,0.18896028815511787,,,pair
4,resize_112,jpeg_q50,0.3249907099796638,71.03498784309579,0.18896028815511787,0.36655603307705625,,,pair
4,jpeg_q50,blur_sigma2,0.5574220848660917,56.122295452422435,0.36655603307705625,0.3408347740286868,,,pair
4,blur_sigma2,jpeg_q50,0.5574220848660917,56.122295452422435,0.3408347740286868,0.36655603307705625,,,pair
4,jpeg_q50,screenshot_strong,0.5574045635369527,56.12350462578072,0.36655603307705625,0.30394288299051636,,,pair
4,screenshot_strong,jpeg_q50,0.5574045635369527,56.12350462578072,0.30394288299051636,0.36655603307705625,,,pair
4,resize_112,blur_sigma2,0.4123212468305275,65.64926445732614,0.18896028815511787,0.3408347740286868,,,pair
4,blur_sigma2,resize_112,0.4123212468305275,65.64926445732614,0.3408347740286868,0.18896028815511787,,,pair
4,resize_112,screenshot_strong,0.4770529061394069,61.50690109005438,0.18896028815511787,0.30394288299051636,,,pair
4,screenshot_strong,resize_112,0.4770529061394069,61.50690109005438,0.30394288299051636,0.18896028815511787,,,pair
4,blur_sigma2,screenshot_strong,0.35492288940895106,69.21128147408537,0.3408347740286868,0.30394288299051636,,,pair
4,screenshot_strong,blur_sigma2,0.35492288940895106,69.21128147408537,0.30394288299051636,0.3408347740286868,,,pair
