fold,generator_id,n,R0_centroid_euc_to_real,R1_centroid_euc_to_real,delta_centroid_euc_R1_minus_R0,R0_centroid_cos_to_real,R1_centroid_cos_to_real,R0_disp,R1_disp,R0_mean_nn_real_dist,R1_mean_nn_real_dist,R0_frac_nn_is_real,R1_frac_nn_is_real,R0_k5_local_real_frac,R1_k5_local_real_frac
3,qwen::FLUX.2-pro,100,0.27249050004877645,0.520561318045959,0.2480708179971825,0.07477791323871585,0.1942147970617879,0.6925580744973936,0.474775997156795,0.7650617073938467,0.6819133647183694,0.0,0.0,0.046000000000000006,0.004
3,qwen::GPT-Image-1,100,0.27988113965184697,0.5521055954465568,0.27222445579470983,0.08007900366304743,0.2238686229840927,0.6968568893816474,0.48839336282621576,0.7819269078599637,0.7225992595930335,0.0,0.0,0.036000000000000004,0.0
3,qwen::GPT-Image-1.5,100,0.272938735945327,0.5312212430796466,0.25828250713431955,0.0768116579706899,0.2063762295677657,0.6996603641362898,0.4894244261302815,0.7794272675607029,0.6897847985673554,0.0,0.0,0.032,0.0
3,qwen::HunyuanImage-3.0,100,0.31233173082846216,0.5428861365459264,0.23055440571746427,0.09534200398317894,0.20420279350568982,0.6768751705013158,0.4402110532804957,0.7741071048490492,0.674385997387493,0.0,0.0,0.04,0.0
3,qwen::Seedream-4.5,100,0.2711622229390189,0.5249367176747286,0.2537744947357097,0.07455451739517072,0.19578332847424185,0.6949970699886976,0.46521101733922554,0.7658593776811122,0.6664795919346933,0.0,0.0,0.04200000000000001,0.0
3,tiny::GLIDE,286,0.34502698161181483,0.662290807046366,0.31726382543455117,0.07690740314621047,0.3019570633704258,0.5365235778538168,0.4020675824951391,0.5366294258084667,0.56096636995819,0.045454545454545456,0.0034965034965034965,0.10139860139860139,0.0034965034965034965
3,tiny::Wukong,285,0.35262392662251524,0.6628911599091943,0.3102672332866791,0.09217941778999528,0.3069467786654848,0.5704489919944137,0.41930520982273306,0.6058187904388614,0.501534221893967,0.03508771929824561,0.028070175438596492,0.07368421052631578,0.04280701754385965
4,qwen::Imagen-4.0,100,0.26850208084750826,0.4532076838512002,0.18470560300369193,0.07232597304972954,0.15371101838285184,0.6914878025281196,0.521632884775336,0.7615628880272541,0.6944627417410983,0.0,0.0,0.05600000000000001,0.006000000000000001
4,qwen::Imagen-4.0-Ultra,100,0.27049513139800174,0.4543249193740364,0.18382978797603466,0.07382506769827091,0.15367592655219675,0.6928813333404747,0.518099110040089,0.7685261913796946,0.6992989892545459,0.0,0.0,0.046,0.0
4,qwen::Qwen-Image,100,0.29815088564155473,0.4689626003572273,0.17081171471567258,0.08600741749650931,0.15664935964421223,0.6757047732645434,0.4836393566702298,0.762185697190618,0.6676097032206032,0.0,0.0,0.044000000000000004,0.0
4,qwen::Qwen-Image-2.0-pro,100,0.27357920001611713,0.47654862798631764,0.2029694279702005,0.07595926948227905,0.16548753684588224,0.6955944048109557,0.49833343432570126,0.7635539334959336,0.7026505753369632,0.01,0.0,0.05,0.0
4,qwen::Seedream-5.0,100,0.28334576225959707,0.4714849665045769,0.18813920424497982,0.0836080356350396,0.16316406159005148,0.7031921785306676,0.5036403603470655,0.7808910651771949,0.6698249357291384,0.01,0.0,0.05,0.002
4,tiny::Midjourney,286,0.34802378092748715,0.4712260576957279,0.12320227676824075,0.09526066405681632,0.18488383571120248,0.5919508611554659,0.593952158174457,0.6344876088465988,0.6929650142681205,0.08391608391608392,0.04195804195804196,0.13706293706293707,0.07272727272727272
