fold,split,condition,group,head,m_n,m_mean,m_median,m_p05,m_p25,m_frac_le0,m_frac_low_margin
3,TRAIN,screenshot_strong,AI,H2,2029,0.4909518930667749,0.7274956966398056,-2.7639505354456153,-0.9135784039306514,0.38836865450961067,0.46870379497289305
3,TRAIN,screenshot_strong,AI,H3,2029,2.211233468894672,2.2880042188913428,-0.15892784264077753,1.3587303992729662,0.06160670280926565,0.10793494332183341
3,EVAL,CLEAN,Real,H2,923,4.43730867611588,5.002397795545372,-0.25038800000382555,2.5212007060593917,0.06608884073672806,0.10400866738894908
3,EVAL,CLEAN,Real,H3,923,4.88768709250808,5.392755976037252,-0.02330638992985412,2.9935464073394833,0.05200433369447454,0.07583965330444203
3,EVAL,CLEAN,AI,H2,1071,1.6798435166161099,1.8221853642742052,-1.8797574570138953,0.28633513163635016,0.21101774042950514,0.28478057889822594
3,EVAL,CLEAN,AI,H3,1071,0.9946073834419976,0.9496988140328197,-2.8306959164061594,-0.6228151975121003,0.3352007469654528,0.42296918767507
3,EVAL,jpeg_q50,Real,H2,923,5.845984278095954,6.05112291416752,1.6540412537206322,4.1599426935445685,0.009750812567713976,0.023835319609967497
3,EVAL,jpeg_q50,Real,H3,923,4.865550499894394,5.106727533561,0.45444529747959506,3.1706876165728675,0.03683640303358613,0.050920910075839654
3,EVAL,jpeg_q50,AI,H2,1071,-2.1160596159068694,-1.7155250898644159,-6.25489065743445,-4.236475093860371,0.7675070028011205,0.8496732026143791
3,EVAL,jpeg_q50,AI,H3,1071,0.6172565977274108,0.10934933985160511,-4.663479024073953,-2.1200784307292198,0.49206349206349204,0.5424836601307189
3,EVAL,resize_112,Real,H2,923,-1.6833253341365602,-1.770522177714387,-3.0959282183287344,-2.3531473650713965,0.9458288190682557,0.9891657638136512
3,EVAL,resize_112,Real,H3,923,2.7802866870549554,3.1017607006263477,-0.6311152372865972,0.9446492176584091,0.12134344528710726,0.18309859154929578
3,EVAL,resize_112,AI,H2,1071,2.7145222134617013,2.7283081963778963,1.6258749426481298,2.308656191436963,0.0,0.0018674136321195146
3,EVAL,resize_112,AI,H3,1071,0.7225531752974292,0.8007219406306763,-1.373845648843123,-0.016504960422683068,0.2549019607843137,0.4061624649859944
3,EVAL,blur_sigma2,Real,H2,923,1.4955856332175275,2.234466509863413,-3.2574260170677305,-2.3066337479950745,0.4452871072589382,0.4561213434452871
3,EVAL,blur_sigma2,Real,H3,923,4.053778656585504,4.394837802394386,-0.7528572698064605,0.9229714502840158,0.12134344528710726,0.18634886240520043
3,EVAL,blur_sigma2,AI,H2,1071,2.4576288236183292,2.521162909250081,0.4163851565845711,1.8482289880764637,0.028011204481792718,0.055088702147525676
3,EVAL,blur_sigma2,AI,H3,1071,0.6331547720639872,0.7976803054508279,-1.9023630881945524,-0.049403220892915545,0.2642390289449113,0.3912231559290383
3,EVAL,screenshot_strong,Real,H2,923,1.909060136110686,1.8929789306071885,-0.9029553908181779,0.7569434185862034,0.1267605633802817,0.19284940411700974
3,EVAL,screenshot_strong,Real,H3,923,2.720856478565526,3.0097990232515492,-1.1026084566756862,0.9061838547438412,0.14084507042253522,0.20151679306608883
3,EVAL,screenshot_strong,AI,H2,1071,0.15756042235654832,0.10243964672821271,-2.0100918923655406,-0.7537747481504198,0.45751633986928103,0.6097105508870215
3,EVAL,screenshot_strong,AI,H3,1071,1.1688032747331578,1.3959405457492045,-2.1804170759364823,-0.025009770262733433,0.25210084033613445,0.32866479925303455
4,TRAIN,CLEAN,Real,H2,4280,4.354671506772097,4.556491845013177,0.7953595910433459,3.1706520604922566,0.02453271028037383,0.03761682242990654
4,TRAIN,CLEAN,Real,H3,4280,5.018844814562921,5.169740931200213,0.46161384597298505,3.186934053169662,0.03364485981308411,0.05163551401869159
4,TRAIN,CLEAN,AI,H2,2314,4.080202460433152,3.9307556615091075,1.0796852930406124,2.6749160385088446,0.00950734658599827,0.01901469317199654
4,TRAIN,CLEAN,AI,H3,2314,4.237659634398563,4.211148470449171,1.1168185222954021,2.916708796101865,0.016421780466724288,0.029386343993085567
4,TRAIN,jpeg_q50,Real,H2,4280,5.525275280105264,5.489091947671733,2.2266802886249146,4.193427702838376,0.0014018691588785046,0.004672897196261682
4,TRAIN,jpeg_q50,Real,H3,4280,4.618429879085588,4.360708793723538,0.49802885561829674,2.4358987878962948,0.03107476635514019,0.05070093457943925
4,TRAIN,jpeg_q50,AI,H2,2314,-1.5583873704757765,-1.7991361603055958,-3.647095866449844,-2.5878984728755157,0.8556611927398444,0.8936905790838375
4,TRAIN,jpeg_q50,AI,H3,2314,3.0399567962068126,2.9631390796004107,0.39034689777731824,1.7838459889226623,0.028522039757994815,0.05661192739844425
4,TRAIN,resize_112,Real,H2,4280,-4.550346022023779,-4.548709721313692,-6.470638906303286,-5.256776612638394,0.999766355140187,0.999766355140187
4,TRAIN,resize_112,Real,H3,4280,2.249824828740981,2.4146786876597828,-1.0047390567089036,0.7401048764542906,0.15,0.21588785046728973
4,TRAIN,resize_112,AI,H2,2314,6.075967915049314,6.164401157882856,4.2190788277411615,5.310497305779471,0.0,0.0
