C,fold,generator_id,legacy_or_modern,n,ai_recall_050,mean_p_ai,median_p_ai
0.3,3,qwen::FLUX.2-pro,modern,100,0.28,0.36522093415260315,0.34436261653900146
0.3,3,qwen::GPT-Image-1,modern,100,0.32,0.4085156321525574,0.3796122074127197
0.3,3,qwen::GPT-Image-1.5,modern,100,0.24,0.3664240539073944,0.355653315782547
0.3,3,qwen::HunyuanImage-3.0,modern,100,0.31,0.41354575753211975,0.35686182975769043
0.3,3,qwen::Seedream-4.5,modern,100,0.19,0.33423396944999695,0.31012529134750366
0.3,3,tiny::GLIDE,legacy,286,0.972027972027972,0.7595482468605042,0.7757126092910767
0.3,3,tiny::Wukong,legacy,285,0.887719298245614,0.703840434551239,0.7430094480514526
0.3,4,qwen::Imagen-4.0,modern,100,0.29,0.37833312153816223,0.34721434116363525
0.3,4,qwen::Imagen-4.0-Ultra,modern,100,0.25,0.37833645939826965,0.3503240644931793
0.3,4,qwen::Qwen-Image,modern,100,0.22,0.36942559480667114,0.34145039319992065
0.3,4,qwen::Qwen-Image-2.0-pro,modern,100,0.25,0.36031338572502136,0.3437535762786865
0.3,4,qwen::Seedream-5.0,modern,100,0.21,0.3452491760253906,0.3087098002433777
0.3,4,tiny::Midjourney,legacy,286,0.9405594405594405,0.7595287561416626,0.795068621635437
1.0,1,mllm::GPT_Image_2,modern,726,0.5413223140495868,0.5031972527503967,0.5304036736488342
1.0,1,qwen::FLUX.2_max,modern,100,0.18,0.2813071012496948,0.2205803394317627
1.0,1,qwen::GPT-Image-1,modern,100,0.28,0.33770298957824707,0.26303648948669434
1.0,1,qwen::GPT-Image-1.5,modern,100,0.18,0.31232553720474243,0.2844371199607849
1.0,1,qwen::Qwen-Image-2512,modern,100,0.25,0.3233392834663391,0.2806512415409088
1.0,1,qwen::gpt-image-2,modern,100,0.21,0.2910792827606201,0.23275670409202576
1.0,1,qwen::kling_v2_1,modern,100,0.26,0.3321602940559387,0.2611408233642578
1.0,1,tiny::ADM,legacy,286,0.8811188811188811,0.7709259986877441,0.8202924728393555
1.0,1,tiny::SD15,legacy,286,0.7727272727272727,0.6214616894721985,0.6316425204277039
1.0,2,mllm::Nano_Banana_2,modern,725,0.5655172413793104,0.5186164975166321,0.545228123664856
1.0,2,qwen::GLM-Image,modern,100,0.35,0.4216293394565582,0.34917324781417847
1.0,2,qwen::Seedream-4.0,modern,100,0.25,0.3458482325077057,0.29677650332450867
1.0,2,qwen::nano-banana-2.0,modern,100,0.25,0.3192199468612671,0.24740666151046753
1.0,2,qwen::nano-banana-pro,modern,100,0.26,0.3380896747112274,0.2736947238445282
1.0,2,tiny::BigGAN,legacy,286,0.9055944055944056,0.7582578063011169,0.8009576797485352
1.0,2,tiny::VQDM,legacy,285,0.3929824561403509,0.4419698119163513,0.4280622899532318
1.0,3,qwen::FLUX.2-pro,modern,100,0.26,0.3287128508090973,0.253937304019928
1.0,3,qwen::GPT-Image-1,modern,100,0.3,0.3779969811439514,0.3355306386947632
1.0,3,qwen::GPT-Image-1.5,modern,100,0.23,0.3224872648715973,0.2955986261367798
1.0,3,qwen::HunyuanImage-3.0,modern,100,0.3,0.38694658875465393,0.3276168704032898
1.0,3,qwen::Seedream-4.5,modern,100,0.2,0.2869836390018463,0.24018976092338562
1.0,3,tiny::GLIDE,legacy,286,0.9755244755244755,0.8353191614151001,0.8667029142379761
1.0,3,tiny::Wukong,legacy,285,0.8701754385964913,0.7548887133598328,0.815239429473877
1.0,4,qwen::Imagen-4.0,modern,100,0.24,0.3362281918525696,0.28103336691856384
1.0,4,qwen::Imagen-4.0-Ultra,modern,100,0.27,0.33960315585136414,0.29155826568603516
1.0,4,qwen::Qwen-Image,modern,100,0.22,0.3305407762527466,0.2801792025566101
1.0,4,qwen::Qwen-Image-2.0-pro,modern,100,0.22,0.3200746774673462,0.26825010776519775
1.0,4,qwen::Seedream-5.0,modern,100,0.19,0.2943228483200073,0.20750071108341217
