C,fold,real_domain,n,specificity,fpr,mean_p_ai
0.1,4,MLLM,113,0.49557522123893805,0.504424778761062,0.49770307540893555
0.1,4,COCO,60,0.9666666666666667,0.03333333333333333,0.25693148374557495
0.1,4,Smartphone,500,0.98,0.02,0.21320953965187073
0.3,1,Tiny,250,0.696,0.304,0.41306769847869873
0.3,1,MLLM,113,0.6637168141592921,0.336283185840708,0.42800673842430115
0.3,1,COCO,60,0.9833333333333333,0.016666666666666666,0.16313765943050385
0.3,1,Smartphone,500,0.984,0.016,0.14678557217121124
0.3,2,Tiny,250,0.7,0.3,0.3970532715320587
0.3,2,MLLM,113,0.7345132743362832,0.26548672566371684,0.3860255479812622
0.3,2,COCO,60,0.95,0.05,0.169617161154747
0.3,2,Smartphone,500,0.984,0.016,0.1372665911912918
0.3,3,Tiny,250,0.688,0.312,0.4182882010936737
0.3,3,MLLM,113,0.46017699115044247,0.5398230088495575,0.49168670177459717
0.3,3,COCO,60,0.9833333333333333,0.016666666666666666,0.16727222502231598
0.3,3,Smartphone,500,0.982,0.018,0.1486666202545166
0.3,4,Tiny,250,0.668,0.332,0.4195266664028168
0.3,4,MLLM,113,0.5486725663716814,0.45132743362831856,0.47264397144317627
0.3,4,COCO,60,0.9833333333333333,0.016666666666666666,0.1731502115726471
0.3,4,Smartphone,500,0.978,0.022,0.1461632400751114
1.0,1,Tiny,250,0.8,0.2,0.33187612891197205
1.0,1,MLLM,113,0.6814159292035398,0.3185840707964602,0.39176613092422485
1.0,1,COCO,60,0.9833333333333333,0.016666666666666666,0.0980253517627716
1.0,1,Smartphone,500,0.982,0.018,0.09836169332265854
1.0,2,Tiny,250,0.788,0.212,0.32103124260902405
1.0,2,MLLM,113,0.7522123893805309,0.24778761061946902,0.3227144777774811
1.0,2,COCO,60,0.9666666666666667,0.03333333333333333,0.11070673912763596
1.0,2,Smartphone,500,0.984,0.016,0.08918971568346024
1.0,3,Tiny,250,0.764,0.236,0.348565012216568
1.0,3,MLLM,113,0.5752212389380531,0.4247787610619469,0.4400371313095093
1.0,3,COCO,60,0.9833333333333333,0.016666666666666666,0.10431208461523056
1.0,3,Smartphone,500,0.98,0.02,0.09692072868347168
1.0,4,Tiny,250,0.752,0.248,0.3424469232559204
1.0,4,MLLM,113,0.6106194690265486,0.3893805309734513,0.42127934098243713
1.0,4,COCO,60,0.9833333333333333,0.016666666666666666,0.11168769747018814
1.0,4,Smartphone,500,0.98,0.02,0.09573327749967575
3.0,1,Tiny,250,0.844,0.156,0.26888006925582886
3.0,1,MLLM,113,0.7168141592920354,0.2831858407079646,0.3454664349555969
3.0,1,COCO,60,1.0,0.0,0.06209690496325493
3.0,1,Smartphone,500,0.986,0.014,0.06907455623149872
3.0,2,Tiny,250,0.828,0.172,0.2589417099952698
3.0,2,MLLM,113,0.8141592920353983,0.18584070796460178,0.2579501271247864
3.0,2,COCO,60,0.9666666666666667,0.03333333333333333,0.07767339050769806
3.0,2,Smartphone,500,0.988,0.012,0.06286654621362686
3.0,3,Tiny,250,0.824,0.176,0.285667359828949
3.0,3,MLLM,113,0.6106194690265486,0.3893805309734513,0.38596174120903015
3.0,3,COCO,60,0.9833333333333333,0.016666666666666666,0.07188507914543152
3.0,3,Smartphone,500,0.98,0.02,0.06834922730922699
3.0,4,Tiny,250,0.832,0.168,0.2785925269126892
3.0,4,MLLM,113,0.6637168141592921,0.336283185840708,0.3670644164085388
3.0,4,COCO,60,0.9833333333333333,0.016666666666666666,0.07696418464183807
3.0,4,Smartphone,500,0.984,0.016,0.06619920581579208
10.0,1,Tiny,250,0.872,0.128,0.21561987698078156
10.0,1,MLLM,113,0.7699115044247787,0.23008849557522124,0.28704747557640076
10.0,1,COCO,60,1.0,0.0,0.043030496686697006
10.0,1,Smartphone,500,0.982,0.018,0.04913856461644173
10.0,2,Tiny,250,0.876,0.124,0.2071685791015625
10.0,2,MLLM,113,0.8584070796460177,0.1415929203539823,0.20138052105903625
10.0,2,COCO,60,0.9833333333333333,0.016666666666666666,0.0553278885781765
10.0,2,Smartphone,500,0.98,0.02,0.046229150146245956
10.0,3,Tiny,250,0.852,0.148,0.2311461865901947
10.0,3,MLLM,113,0.6637168141592921,0.336283185840708,0.3346588909626007
10.0,3,COCO,60,1.0,0.0,0.05270896852016449
10.0,3,Smartphone,500,0.982,0.018,0.049386683851480484
10.0,4,Tiny,250,0.872,0.128,0.22509105503559113
10.0,4,MLLM,113,0.7079646017699115,0.2920353982300885,0.3121338486671448
10.0,4,COCO,60,1.0,0.0,0.05660814791917801
10.0,4,Smartphone,500,0.978,0.022,0.04663917422294617
